iata	size	name	country_code	city	lat	lon	pop	heuristic
ASH	large_airport	Ashburn Airport	US	Ashburn	39.043611	-77.4875	43511	0
AMX	large_airport	Amsterdam Airport Schiphol	NL	Amsterdam	52.3086013794	4.7638897896	741636	0
PIX	large_airport	San Francisco International Airport	US	San Francisco	37.6189994812	-122.375	805235	0
CHI	large_airport	Chicago Midway International Airport	US	Chicago	41.7859992981	-87.7524032593	2695598	0
HKX	large_airport	Chek Lap Kok International Airport	HK	Hong Kong	22.308889	113.914722	7012738	0
WEL	large_airport	Wellington International Airport	NZ	Wellington	-41.3272018433	174.804992676	381900	0
TOK		Tokyo	JP	Tokyo	35.673343	139.710388	8336599	0
TAI	large_airport	Taiwan Taoyuan International Airport	TW	Taipei	25.0776996613	121.233001709	7871900	0
WIE	large_airport	Vienna International Airport	AT	Vienna	48.1102981567	16.5697002411	1691468	0
NIX	large_airport	Oslo Gardermoen Airport	NO	Oslo	60.193901062	11.100399971	580000	0
RWX	large_airport	Kigali Airport	X	Kigali	-1.943889	30.059444	851024	0
DEX		Frankfurt-am-Main	DE	Frankfurt-am-Main	50.121212	8.6365638	650000	0
AAL	large_airport	Aalborg Airport	DK	Aalborg	57.0927589138	9.8492431641	122219	0
AAN	medium_airport	Al Ain International Airport	AE	Al Ain	24.2616996765	55.6091995239	408733	0
AAO	medium_airport	Anaco Airport	VE	Anaco	9.4302253723	-64.4707260132	117596	0
AAQ	medium_airport	Anapa Airport	RU	Anapa	45.0021018982	37.3473014832	53600	0
AAR	medium_airport	Aarhus Airport	DK	Aarhus	56.2999992371	10.6190004349	237551	0
AAT	medium_airport	Altay Air Base	CN	Altay	47.7498855591	88.0858078003	139341	0
AAV	medium_airport	Allah Valley Airport	PH	Surallah	6.3668198586	124.7509994507	31089	0
ABA	medium_airport	Abakan Airport	RU	Abakan	53.7400016785	91.3850021362	167289	0
ABB	medium_airport	Asaba International Airport	NG	Asaba	6.2033333333	6.6588888889	73374	0
ABC	medium_airport	Albacete-Los Llanos Airport	ES	Albacete	38.9485015869	-1.8635200262	169716	0
ABD	medium_airport	Abadan Airport	IR	Abadan	30.371099472	48.2282981873	370180	0
ABE	medium_airport	Lehigh Valley International Airport	US	Allentown	40.6520996094	-75.4408035278	118032	0
ABJ	medium_airport	Port Bouet Airport	CI	Abidjan	5.2613902092	-3.9262900352	3677115	0
ABL	medium_airport	Ambler Airport	US	Ambler	67.106300354	-157.856994629	6417	0
ABQ	large_airport	Albuquerque International Sunport Airport	US	Albuquerque	35.0401992798	-106.6090011597	545852	0
ABR	medium_airport	Aberdeen Regional Airport	US	Aberdeen	45.4491004944	-98.4217987061	26091	0
ABS	medium_airport	Abu Simbel Airport	EG	Abu Simbel	22.3759994507	31.611700058	5000	0
ABV	large_airport	Nnamdi Azikiwe International Airport	NG	Abuja	9.0067901611	7.2631697655	590400	0
ABX	medium_airport	Albury Airport	AU	Albury	-36.0677986145	146.9579925537	45627	0
ABY	medium_airport	Southwest Georgia Regional Airport	US	Albany	31.5354995728	-84.1945037842	77434	0
ABZ	large_airport	Aberdeen Dyce Airport	GB	Aberdeen	57.2019004822	-2.1977798939	183790	0
ACA	large_airport	General Juan N Alvarez International Airport	MX	Acapulco	16.7570991516	-99.7539978027	652136	0
ACC	large_airport	Kotoka International Airport	GH	Accra	5.6051898003	-0.1667860001	1963264	0
ACJ	medium_airport	Anuradhapura Air Force Base	LK	Anuradhapura	8.30148983	80.4279022217	60943	0
ACK	medium_airport	Nantucket Memorial Airport	US	Nantucket	41.25310135	-70.06020355	7446	0
ACS	medium_airport	Achinsk Airport	RU	Achinsk	56.2682991028	90.5708007813	117634	0
ACT	medium_airport	Waco Regional Airport	US	Waco	31.6112995148	-97.2304992676	124805	0
ACV	medium_airport	Arcata Airport	US	Arcata/Eureka	40.978099823	-124.1090011597	27191	3
ACY	medium_airport	Atlantic City International Airport	US	Atlantic City	39.4575996399	-74.5772018433	39558	0
ADA	large_airport	Adana Airport	TR	Adana	36.9822006226	35.2803993225	1248988	0
ADB	large_airport	Adnan Menderes International Airport	TR	İzmir	38.2924003601	27.156999588	2500603	0
ADD	large_airport	Bole International Airport	ET	Addis Ababa	8.9778900147	38.7993011475	2757729	0
ADE	medium_airport	Aden International Airport	YE	Aden	12.8295001984	45.0288009644	550602	0
ADF	medium_airport	Adıyaman Airport	TR	Adıyaman	37.7313995361	38.4688987732	223744	0
ADL	medium_airport	Adelaide International Airport	AU	Adelaide	-34.9449996948	138.5310058594	1225235	0
ADP	medium_airport	Gal Oya Airport	LK	Ampara	7.33776	81.62594	18348	0
