target,vp,vp_lat,vp_lon,radius,pop_iata,pop_lat,pop_lon
104.16.210.0,fr-cdg-manycast,48.916544,2.384315,35.50173844736841,PAR,49.0127983093,2.5499999523
104.16.210.0,gb-man-manycast,55.71667,-2.26667,71.00347689473682,NoCity,55.71667,-2.26667
104.16.210.0,pl-waw-manycast,52.22977,21.01178,73.9619550986842,WAW,52.1656990051,20.9671001434
104.16.210.0,gb-lhr-manycast,51.50853,-0.12574,231.7474593092105,BQH,51.3307991028,0.0324999988
104.16.46.0,gb-man-manycast,55.71667,-2.26667,69.03115809210526,NoCity,55.71667,-2.26667
104.16.46.0,fr-cdg-manycast,48.916544,2.384315,208.07963367763156,PAR,49.0127983093,2.5499999523
104.17.62.0,gb-man-manycast,55.71667,-2.26667,75.93427390131579,EDI,55.9500007629,-3.3724999428
104.17.62.0,fr-cdg-manycast,48.916544,2.384315,108.47753414473685,PAR,49.0127983093,2.5499999523
104.17.62.0,gb-lhr-manycast,51.50853,-0.12574,131.159200375,BQH,51.3307991028,0.0324999988
104.16.61.0,pl-waw-manycast,52.22977,21.01178,60.155723480263156,WAW,52.1656990051,20.9671001434
104.16.61.0,gb-man-manycast,55.71667,-2.26667,80.86507090789473,EDI,55.9500007629,-3.3724999428
104.16.61.0,fr-cdg-manycast,48.916544,2.384315,83.8235491118421,PAR,49.0127983093,2.5499999523
104.16.61.0,nl-ams-manycast,52.378502,4.89998,121.29760636184209,AMX,52.3086013794,4.7638897896
104.16.61.0,gb-lhr-manycast,51.50853,-0.12574,124.25608456578948,BQH,51.3307991028,0.0324999988
104.16.213.0,pl-waw-manycast,52.22977,21.01178,67.05883928947368,WAW,52.1656990051,20.9671001434
104.16.213.0,gb-man-manycast,55.71667,-2.26667,71.00347689473682,NoCity,55.71667,-2.26667
104.16.213.0,se-sto-manycast,59.38122,17.90033,72.97579569736841,ARN,59.6519012451,17.9186000824
104.16.213.0,nl-ams-manycast,52.378502,4.89998,103.54673713815791,AMX,52.3086013794,4.7638897896
104.16.213.0,fr-cdg-manycast,48.916544,2.384315,123.26992516447368,PAR,49.0127983093,2.5499999523
104.16.213.0,gb-lhr-manycast,51.50853,-0.12574,159.7578230131579,BQH,51.3307991028,0.0324999988
104.18.189.0,gb-man-manycast,55.71667,-2.26667,65.0865204868421,NoCity,55.71667,-2.26667
